file_name,id,category,sub,text,difficulty,instruct
audio_101.wav,101,1-숫자,전화번호,"고객센터 번호는 1588-3920이고, 팩스는 02-555-7812입니다.","대표번호(숫자 연속), 지역번호 포함 전화번호","Read aloud in a clear, informative tone as if providing contact details to a customer — pronounce each digit group distinctly with brief pauses at hyphens."
audio_102.wav,102,1-숫자,금액,이번 달 월세 85만 원에 관리비 12만 3천 원을 더하면 97만 3천 원이에요.,"만 단위 금액, 덧셈 맥락",Read aloud in a conversational tone as if casually explaining a bill — make sure large Korean currency amounts sound natural and unhurried.
audio_103.wav,103,1-숫자,날짜+나이,생일이 1995년 11월 15일이니까 올해로 서른 살이 되네요.,"연도, 나이(고유어 수사)","Read aloud in a friendly, conversational tone as if chatting about someone's birthday — naturally transition from Sino-Korean year to native Korean age counter."
audio_104.wav,104,1-숫자,시간,오전 9시 45분부터 오후 6시 10분까지 근무합니다.,오전/오후 시간 읽기,"Read aloud in a neutral, professional tone as if stating office hours — clearly distinguish AM and PM time expressions."
audio_105.wav,105,1-숫자,거리/단위,"서울에서 부산까지 거리는 약 325킬로미터이고, 소요 시간은 4시간 30분입니다.","거리 단위, 큰 숫자","Read aloud in a factual, informative tone like a travel guide — smoothly connect numbers with their measurement units."
audio_106.wav,106,1-숫자,비율/통계,"합격률은 23.7퍼센트이고, 지원자 수는 총 1만 5천 480명이었습니다.","소수점, 퍼센트, 만 단위 숫자","Read aloud in a composed, report-like tone — clearly articulate the decimal point and handle the large mixed-unit number naturally."
audio_107.wav,107,1-숫자,층수/출구,엘리베이터를 타고 지하 2층에서 내려서 3번 출구로 나가세요.,"지하 층수, 출구 번호","Read aloud as helpful navigation directions — clear and steady, with slight emphasis on floor and exit numbers."
audio_108.wav,108,1-숫자,순번,"대기 번호 247번, 현재 203번까지 처리 중입니다.",세 자리 숫자 연속 읽기,"Read aloud as a waiting-room announcement — even-paced and clear, with each three-digit number spoken distinctly."
audio_109.wav,109,1-숫자,신체수치,제 키는 175센티미터이고 몸무게는 68.5킬로그램입니다.,"신체 수치, 소수점, 단위","Read aloud in a matter-of-fact, casual tone as if filling out a health form — handle the decimal naturally."
audio_110.wav,110,1-숫자,연도비교,2023년 대비 2024년 매출이 약 18퍼센트 증가했습니다.,"연도 비교, 퍼센트","Read aloud in a professional, business-briefing tone — emphasize the year-over-year comparison clearly."
audio_201.wav,201,2-겹받침,ㄺ,맑은 하늘 아래 흙을 밟으며 산책했어요.,"맑은[말근], 흙을[흘글], 밟으며[발브며]","Read aloud in a calm, peaceful tone as if describing a pleasant walk outdoors — pay careful attention to the complex final consonant clusters."
audio_202.wav,202,2-겹받침,ㄻ,삶의 가치를 젊었을 때 깨닫는 게 중요해요.,"삶의[삼의], 젊었을[절머슬]","Read aloud in a thoughtful, reflective tone as if sharing life wisdom — handle the double consonant endings smoothly."
audio_203.wav,203,2-겹받침,ㄼ,여덟 명이 넓은 마당에서 밟아가며 춤을 췄어요.,"여덟[여덜], 넓은[널분], 밟아[발바]","Read aloud in a lively, storytelling tone describing a group dance — clearly pronounce each double-consonant word."
audio_204.wav,204,2-겹받침,ㅄ,값어치가 없으니까 그냥 버리는 게 나아요.,"값어치[가버치], 없으니까[업쓰니까]","Read aloud in a blunt, practical tone as if giving straightforward advice — articulate the consonant clusters cleanly."
audio_205.wav,205,2-겹받침,ㅎ받침,놓은 자리가 좋으니까 그냥 놓아두세요.,"놓은[노은], 좋으니까[조으니까], 놓아[노아]","Read aloud in a relaxed, reassuring tone — handle the ㅎ-final consonant deletion and aspiration naturally."
audio_206.wav,206,2-겹받침,ㄳ,몫을 나누고 넋을 잃은 듯 멍하니 앉아 있었어요.,"몫을[목쓸], 넋을[넉쓸]","Read aloud in a dazed, absent-minded tone as if someone is lost in thought — pronounce the rare ㄳ clusters carefully."
